timestamp,value
1396281600,18.324918539200002
1396281900,21.970327182
1396282200,18.6248060317
1396282500,21.953683975900002
1396282800,21.909119730300002
1396283100,21.1752724156
1396283400,20.637691848299998
1396283700,20.311228201
1396284000,21.4644061815
1396284300,19.1577580865
1396284600,19.8707248499
1396284900,20.4775598775
1396285200,19.644761903499997
1396285500,19.7099458164
1396285800,19.32113867
1396286100,20.2569272667
1396286400,21.4022981121
1396286700,18.806113512
1396287000,21.737732155
1396287300,20.756350615
1396287600,21.2930928507
1396287900,20.2247627705
1396288200,21.1180668057
1396288500,18.064801589400002
1396288800,21.2735216991
1396289100,18.1605554363
1396289400,21.559653505500002
1396289700,21.967850989000002
1396290000,19.1762698487
1396290300,18.8412742251
1396290600,21.0614534554
1396290900,19.012105363699998
1396291200,21.4622495327
1396291500,18.4113703686
1396291800,18.5038207855
1396292100,21.9166062204
1396292400,20.6953555931
1396292700,21.3875488977
1396293000,19.2973175094
1396293300,20.7059349981
1396293600,20.3769673092
1396293900,20.4126004805
1396294200,20.7301298382
1396294500,20.3014366925
1396294800,19.7162494772
1396295100,19.1036907775
1396295400,21.0743253237
1396295700,18.90508972
1396296000,20.7694172246
1396296300,18.933331290599998
1396296600,20.5013206798
1396296900,20.9883130685
1396297200,18.8748555556
1396297500,18.2397732034
1396297800,18.523894972
1396298100,20.4239878691
1396298400,21.3977856249
1396298700,18.1799872849
1396299000,20.9366050362
1396299300,19.3652745838
1396299600,19.9141134797
1396299900,21.7154381994
1396300200,19.327886018900003
1396300500,19.8613477358
1396300800,18.054729659
1396301100,18.32639488
1396301400,19.034366364500002
1396301700,18.1114089633
1396302000,20.525501304200002
1396302300,19.7055934272
1396302600,20.1925808109
1396302900,18.6985887436
1396303200,19.1837281177
1396303500,20.6552978994
1396303800,21.861210894499997
1396304100,18.2016670944
1396304400,21.5615372834
1396304700,20.3075248052
1396305000,20.255678267
1396305300,20.0011141408
1396305600,18.2775763436
1396305900,18.3595074069
1396306200,20.4036480226
1396306500,19.363834285699998
1396306800,21.669072266300002
1396307100,19.626362149400002
1396307400,18.5731258348
1396307700,20.858875334
1396308000,19.1734136858
1396308300,20.1018812294
1396308600,20.791331142
1396308900,21.6010564448
1396309200,21.1687647792
1396309500,20.7054442715
1396309800,20.7185327296
1396310100,21.7836985761
1396310400,19.18329639
1396310700,18.0044483768
1396311000,19.0878182376
1396311300,18.8715655185
1396311600,20.6473383405
1396311900,20.5348463991
1396312200,20.3738455308
1396312500,18.0649737728
1396312800,20.9151122178
1396313100,19.2941216499
1396313400,20.660223956
1396313700,20.226313714
1396314000,65.8611405858
1396314300,63.0302372326
1396314600,62.484097008199996
1396314900,72.5086493303
1396315200,73.6902065723
1396315500,70.037117436
1396315800,62.6067039621
1396316100,66.6675701497
1396316400,71.11357312140001
1396316700,71.8055640225
1396317000,62.8077732632
1396317300,61.2004177763
1396317600,80.8923669521
1396317900,75.3743726513
1396318200,73.7895502667
1396318500,70.0401687311
1396318800,78.2254467929
1396319100,83.04985941380002
1396319400,84.70244315020001
1396319700,78.62036163350001
1396320000,77.8244398065
1396320300,71.1600751028
1396320600,78.3585058799
1396320900,75.7372753055
1396321200,81.2238795072
1396321500,77.7503038366
1396321800,75.3897172594
1396322100,73.0783277372
1396322400,76.5764629427
1396322700,73.1050394445
1396323000,74.3813691059
1396323300,87.270594266
1396323600,78.631022969
1396323900,80.02688857449999
1396324200,85.462029081
1396324500,87.4015277934
1396324800,81.2258430721
1396325100,84.8975816393
1396325400,77.1383791217
1396325700,76.7996330352
1396326000,78.3491276245
1396326300,82.6608040633
1396326600,82.8155689476
1396326900,76.9513783572
1396327200,74.0424011556
1396327500,82.0197980953
1396327800,73.9643499385
1396328100,81.15837307550001
1396328400,83.0748113079
1396328700,83.1898135942
1396329000,84.0353804376
